model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
Autoformer,1,1,568.885542937248,530.0603,-0.013466122642402656,-0.046507267856581616
Autoformer,1,2,504.2306681971396,509.40326,0.023040682715859018,0.007742359516166911
Autoformer,1,3,485.5103413243448,501.23557,0.037280571190663636,0.02875541445605801
Autoformer,1,4,476.0497172694052,496.40326,0.04559950846860894,0.04027144528194257
Autoformer,1,5,470.5290934901084,493.22192,0.05114112201624543,0.04801656549483266
Autoformer,1,6,464.08016633064517,490.32114,0.056165949377769975,0.054505405952356555
Autoformer,1,7,460.82100652879285,488.21155,0.05982526276505107,0.05932163944650003
Autoformer,1,8,458.2735304309476,486.77075,0.06230906954589421,0.06242103446389856
Autoformer,1,9,456.04003473097276,485.14957,0.06507098956086199,0.06566613133951625
Autoformer,1,10,454.35611867597027,484.32303,0.0664682419595719,0.06719455092431655
Autoformer,1,11,453.29844832881804,483.03186,0.06886698976284511,0.06981427343260806
Autoformer,1,12,452.6104480374244,482.46634,0.0697768245975493,0.07104822307509241
Autoformer,1,13,450.38654174804685,481.6542,0.07120539224173272,0.07212060266267334
Autoformer,1,14,449.7612355878276,480.8938,0.07261136212769614,0.07422952920312458
Autoformer,1,15,448.7246780887727,480.45358,0.07346499879214519,0.07511984914876968
Autoformer,1,16,448.0758863879788,479.72452,0.07469382595168661,0.07667987012464647
Autoformer,1,17,446.360504937941,479.35675,0.07518776047218279,0.07716505317240505
Autoformer,1,18,447.2045130575857,479.24023,0.07553595214752906,0.0773983998325393
Autoformer,1,19,446.4508785124748,478.8231,0.07631273950687001,0.0786691448711151
Autoformer,1,20,444.72322151430194,478.89026,0.0761349196940595,0.07825710786291581
Autoformer,1,21,444.8141148721018,478.39273,0.07686693471595307,0.0792857542903664
Autoformer,1,22,445.21321391444053,478.1963,0.07736679374234967,0.07987740625642922
Autoformer,1,23,444.09661589591735,477.79163,0.07808365895629799,0.0805199164176762
Autoformer,1,24,443.0876929498488,477.28735,0.0790020420066585,0.08165555505200799
Autoformer,1,25,442.2872556624874,477.15466,0.07920660673181945,0.08157871695783286
Autoformer,1,26,442.195272531817,477.27396,0.07899823339572254,0.08145381424447429
Autoformer,1,27,442.13049946446574,476.9493,0.07955877628969887,0.08220569002124892
Autoformer,1,28,441.0754654422883,476.71237,0.08001690986739696,0.08260640193941649
Autoformer,1,29,440.950479421308,476.5181,0.08048257603116837,0.08275394979054115
Autoformer,1,30,440.69210638230845,476.526,0.08049704875272501,0.08286781117866503
Autoformer,2,1,1273.8637258222027,1102.8558,-0.02570334551433673,-0.03971327844509892
Autoformer,2,2,1095.5335598853326,1027.9003,0.05205490060671558,0.0391068911001442
Autoformer,2,3,1029.2378071446572,990.68677,0.09084107933675145,0.07842297038839846
Autoformer,2,4,991.4076337260585,964.46124,0.11691790956433823,0.10485598425820114
Autoformer,2,5,964.0805671938004,939.77325,0.14084367309358026,0.12910853208146172
Autoformer,2,6,930.5475782825101,904.18964,0.17567464588089265,0.16441528054466592
Autoformer,2,7,896.362785093246,864.4559,0.2122139500230863,0.20145366291165068
Autoformer,2,8,869.3418819304435,842.3277,0.23184719006552768,0.22135509643622253
Autoformer,2,9,847.17791984312,829.7327,0.24367262099779963,0.23334201696267332
Autoformer,2,10,832.3215013073336,819.6515,0.2532636993460238,0.24306411587597032
Autoformer,2,11,822.9520913400958,813.21375,0.2601373087312443,0.2500316071774715
Autoformer,2,12,814.7120050245716,807.3804,0.26597464950012106,0.25594867773555535
Autoformer,2,13,809.4786754977318,802.2987,0.2710492158052977,0.26109260212296176
Autoformer,2,14,801.0236753402218,796.8717,0.2760060849817857,0.26611714612535053
Autoformer,2,15,794.7072690902218,793.0281,0.27973176938984146,0.26989368946667747
Autoformer,2,16,792.7356468939012,789.9285,0.2829543895756874,0.2731603464028966
Autoformer,2,17,786.3504622920867,787.72974,0.2855140230490021,0.2757550023709322
Autoformer,2,18,785.0193599577873,783.48224,0.28909089945847655,0.2793806460571927
Autoformer,2,19,780.6370806294103,780.74585,0.29145071475496165,0.2817727347594774
Autoformer,2,20,777.5993038054436,778.29535,0.2937096745325125,0.28406258725573297
Autoformer,2,21,775.0145381804435,776.25305,0.29581599205450637,0.2861976744219936
Autoformer,2,22,772.1577585527974,774.3377,0.29747680774382623,0.2878811276774601
Autoformer,2,23,768.9146106350806,772.2927,0.29959346319918523,0.29002673975663656
Autoformer,2,24,768.8425489856351,770.5425,0.3009738927802845,0.2914260070619296
Autoformer,2,25,765.6967127646169,768.86884,0.30256850686814807,0.29304235462698214
Autoformer,2,26,762.8914365706905,768.05615,0.3035824008963165,0.29407012491377854
Autoformer,2,27,759.8083314957157,766.10474,0.30502849819498934,0.29553597842455553
Autoformer,2,28,759.6992939610635,765.4255,0.30583621597463395,0.2963547620753946
Autoformer,2,29,758.1894657258065,764.68774,0.30683351106753987,0.29736568171168176
Autoformer,2,30,755.9229885962702,763.4201,0.3081790925915675,0.2987296456336181
Autoformer,3,1,2073.25173812374,1697.4757,-0.014306720744533097,-0.03324424383008658
Autoformer,3,2,1721.5155816847277,1593.1866,0.054366133788948945,0.03671135549181381
Autoformer,3,3,1627.5593348349294,1544.3153,0.08535385383938376,0.06827785604252978
Autoformer,3,4,1526.5999007686491,1375.9033,0.18760650764056364,0.17244141698706747
Autoformer,3,5,1395.0917456842237,1301.099,0.23213498636161756,0.21780203081544758
Autoformer,3,6,1337.4743266444052,1273.7877,0.24880933375738268,0.2347879291728521
Autoformer,3,7,1304.3842163085938,1256.9309,0.2589705461067603,0.2451390575066331
Autoformer,3,8,1282.5086921938005,1246.165,0.265959064906775,0.2522580848969782
Autoformer,3,9,1267.3145192792338,1236.1876,0.2716308588209704,0.25803587441944703
Autoformer,3,10,1250.8890892767138,1229.3424,0.27603476692165196,0.26252205985056026
Autoformer,3,11,1240.8324325069304,1222.4683,0.27988709560263514,0.2664462062391497
Autoformer,3,12,1232.1687232232862,1214.7948,0.28439749302076656,0.27104082368963395
Autoformer,3,13,1224.4912625220513,1210.1754,0.28718601943436506,0.2738814970798092
Autoformer,3,14,1215.3824955109626,1205.0392,0.29005930093907817,0.276808484823357
Autoformer,3,15,1205.8108107043852,1200.7195,0.2927551841639733,0.27955468525395016
Autoformer,3,16,1200.4759466355847,1196.4309,0.2952236552137,0.2820692076159205
Autoformer,3,17,1197.571178017893,1194.6599,0.296370995791188,0.2832379789557479
Autoformer,3,18,1192.9746066185735,1192.269,0.29816755197501976,0.28506809663704585
Autoformer,3,19,1186.2123369770666,1190.2828,0.2993249624643233,0.2862470572742909
Autoformer,3,20,1181.1782163558469,1185.7465,0.3014771124091429,0.2884394144850225
Autoformer,3,21,1177.0982295866936,1184.3623,0.30291048044015934,0.28989958929827053
Autoformer,3,22,1172.0547001008065,1180.164,0.30495693826888126,0.2919842485951956
