model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,13,1,15954.916678292411,13007.4375,0.22256020472905436,0.2004167375544998
FEDformer,13,2,14602.526436941964,12460.595,0.2579867361941127,0.23686368092149657
FEDformer,13,3,14290.114432198661,12173.686,0.27595484156284744,0.2553464853682623
FEDformer,13,4,13833.035051618304,12201.383,0.2740810339334204,0.2534259379722628
FEDformer,13,5,14444.671316964286,12869.861,0.22200359314604956,0.19986797942144108
FEDformer,13,6,15359.259347098214,12341.721,0.2654699947571427,0.24456464873004086
FEDformer,13,7,14483.612409319196,12010.672,0.291361735519448,0.2711978577210002
FEDformer,13,8,13702.005266462054,11803.911,0.3034889321641311,0.2836714214075128
FEDformer,13,9,13790.226109095982,12724.678,0.2307224923271527,0.20885179599565795
FEDformer,13,10,15868.780238560268,12500.511,0.24961333750788295,0.22825374977632903
FEDformer,13,11,14589.976771763393,12067.409,0.2851273822754494,0.2647843285027461
FEDformer,13,12,14541.601632254464,12192.908,0.2761925944656154,0.25559395197235724
FEDformer,13,13,14151.771868024554,12005.178,0.29033006778178716,0.2701337562358166
FEDformer,13,14,13808.437569754464,12020.846,0.29007809466994117,0.2698781359148447
FEDformer,13,15,13678.94642857143,11892.515,0.2991698668432341,0.27922783390024963
