model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,20,1,19092.41649351729,15735.876,0.103344620562278,0.07243735583779076
FEDformer,20,2,17229.83759973404,15046.7,0.1388930504364746,0.10921463575006433
FEDformer,20,3,16763.94576961436,14497.441,0.17644725327899402,0.1480689303842409
FEDformer,20,4,17008.463430851065,14028.78,0.1998581285398221,0.1722868639552948
FEDformer,20,5,16211.64625581782,13653.665,0.22684940899960604,0.200208682951133
FEDformer,20,6,16832.938912898935,14723.391,0.1377805932666829,0.1080690577449058
FEDformer,20,7,17574.317736037236,13709.407,0.22845892915311972,0.2018734505423117
