model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,21,1,22161.906790226065,18633.578,-0.0025110853687611012,-0.03783910327528887
FEDformer,21,2,20798.33151180186,17623.084,0.06594507299012797,0.03303130234169608
FEDformer,21,3,19783.672747672874,16825.586,0.12053842942376769,0.089551117303069
FEDformer,21,4,18985.106860871012,16164.847,0.1634250283721701,0.13395094205049476
FEDformer,21,5,19003.249335106382,16361.278,0.14173662853586677,0.11150026740984108
FEDformer,21,6,19525.864320146276,15876.827,0.1792279441142408,0.15031071416637792
FEDformer,21,7,18996.080327460106,15592.959,0.1959819051777001,0.16765679555430962
FEDformer,21,8,18869.242499168882,15409.179,0.20852405416327313,0.1806415086183414
