model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,3,1,3802.271831512451,3169.6772,-0.18228909926700765,-0.20304123753796813
FEDformer,3,2,3954.3075256347656,2851.7954,-0.0503226376937449,-0.06875998241619319
FEDformer,3,3,3507.545478820801,2715.8652,0.0036654512687638308,-0.01382295816037656
FEDformer,3,4,3509.3914108276367,2891.2246,-0.06560480879179864,-0.08431060392911054
FEDformer,3,5,4039.296516418457,2748.0447,-0.00976238042718336,-0.027486930327010883
FEDformer,3,6,3378.711250305176,2681.0571,0.01787851773570559,0.0006380838292150415
FEDformer,3,7,3149.577705383301,2638.3938,0.03530119442381907,0.01836558344405707
FEDformer,3,8,3005.267951965332,2612.8203,0.04578786755752673,0.029036434258459476
FEDformer,3,9,2908.5906829833984,2581.98,0.057687875799869115,0.04114584200342205
FEDformer,3,10,2841.1998405456543,2559.6543,0.06656230809475971,0.05017657730352543
FEDformer,3,11,2943.729434967041,2628.3813,0.03910500680981255,0.02223455254376157
FEDformer,3,12,2857.473892211914,2597.454,0.05219877748008239,0.03555856332669375
FEDformer,3,13,2797.597801208496,2577.167,0.06024336063459179,0.043744113096334934
FEDformer,3,14,2760.9590950012207,2560.5054,0.06668740328735379,0.050301993583657945
FEDformer,3,15,2728.26900100708,2546.224,0.0718156500900422,0.05552115657413348
