model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
FEDformer_35,1,1,52674.36450982863,45269.02,0.015485604680334109
FEDformer_35,1,2,53292.29363029234,46156.285,-0.003810580049253831
FEDformer_35,1,3,52543.72038810484,45410.258,0.012413997562009893
FEDformer_35,1,4,50989.869770665326,45206.438,0.016846570641501524
FEDformer_35,1,5,50247.82311617943,44930.85,0.02284027815500611
FEDformer_35,1,6,50004.404296875,44502.49,0.03215616497085727
FEDformer_35,1,7,49963.19830519153,44550.742,0.031106782070289163
FEDformer_35,1,8,50374.755764868954,44458.543,0.03311191518039536
FEDformer_35,1,9,49618.71478074597,44219.05,0.03832044701920512
FEDformer_35,1,10,49119.72309727823,43851.875,0.04630575368193224
FEDformer_35,1,11,48892.2800844254,43716.875,0.04924176743781916
FEDformer_35,1,12,48574.312594506046,43448.727,0.055073583331703424
FEDformer_35,1,13,48372.68107358871,43312.918,0.05802708438466797
FEDformer_35,1,14,48260.40054813508,43482.562,0.05433766559006814
FEDformer_35,1,15,48113.62077872984,43181.047,0.06089500734537423
FEDformer_35,1,16,47846.6089969758,43045.21,0.0638492118300582
FEDformer_35,1,17,47664.99070690524,42976.168,0.06535075150925362
FEDformer_35,1,18,48122.81095640121,43530.277,0.05329987834242844
FEDformer_35,1,19,48047.879252772174,43093.29,0.06280355636174506
FEDformer_35,1,20,47775.4392641129,42930.383,0.06634647386401482
FEDformer_35,1,21,47535.383757560485,42723.63,0.07084300338401706
FEDformer_35,1,22,47491.5374873992,42839.883,0.06831466512341478
FEDformer_35,1,23,47457.857516381046,42682.625,0.0717347859394567
FEDformer_35,1,24,47413.627835181454,42503.64,0.07562727236862632
FEDformer_35,1,25,47653.70425907258,45475.77,0.010989065353002592
FEDformer_35,1,26,52149.99165196573,43448.324,0.05508227493921802
FEDformer_35,1,27,48691.06363407258,43166.023,0.061221775084179586
FEDformer_35,1,28,47977.1369077621,42869.684,0.06766664545214918
FEDformer_35,1,29,47604.86271421371,42858.562,0.06790838009975464
FEDformer_35,1,30,47428.83256678427,42777.695,0.06966703862575829
FEDformer_40,1,1,51349.379788306454,44659.33,0.028722821152979527
FEDformer_40,1,2,49614.71692288307,43879.414,0.045684852627892236
FEDformer_40,1,3,49515.58933971774,43449.742,0.05502961303069476
FEDformer_40,1,4,48510.20076234879,42933.812,0.06625028926994725
FEDformer_40,1,5,48020.9007686492,42682.543,0.07171527203621042
FEDformer_40,1,6,47647.66226688508,42916.664,0.06662331315991454
FEDformer_40,1,7,47243.907258064515,42306.76,0.07988798898334393
FEDformer_40,1,8,46980.204794606856,42486.86,0.07597103649266146
FEDformer_40,1,9,47053.05065524193,42944.375,0.0660206058188284
FEDformer_40,1,10,47738.78528225807,42321.86,0.079559495609547
FEDformer_40,1,11,46673.54281123992,42144.203,0.0834231640292955
FEDformer_40,1,12,46492.62603956653,42175.277,0.08274732987814515
FEDformer_40,1,13,46236.69427293347,42025.242,0.08601048784086907
