model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,382824.5316386223,293134.264667511,0.01007092802713927
HFformer,1,2,354745.7899489403,282832.9501800537,0.044859000819216566
HFformer,1,3,342637.1414874792,281717.1999359131,0.04862684062617084
HFformer,1,4,338885.7369983196,280396.0298309326,0.053088542718099596
HFformer,1,5,336389.28291368484,279106.96002197266,0.05744185299861604
HFformer,1,6,334570.1456693411,278175.7792739868,0.06058650993300352
HFformer,1,7,333004.14896285534,277535.2311630249,0.06274965944355293
HFformer,1,8,331924.1576884985,277259.8508415222,0.06367964539987825
HFformer,1,9,331160.8813904524,277993.58068084717,0.06120174926182065
HFformer,1,10,330246.609606266,276741.62490844727,0.06542961319230622
HFformer,1,11,329838.4523847103,276221.3457374573,0.06718673280137633
HFformer,1,12,329241.95344662666,276559.5479507446,0.06604454757913869
HFformer,1,13,328846.77216112614,275958.76109313965,0.0680734196412236
HFformer,1,14,328609.7905063629,275551.33082962036,0.06944937572807197
HFformer,1,15,328282.33920645714,276593.49195098877,0.06592998807620998
HFformer,1,16,327684.34270501137,276053.41510772705,0.06775371859482293
HFformer,1,17,327836.62553846836,275596.7308883667,0.06929609581068263
HFformer,1,18,327719.99771153927,276013.90259552,0.06788719606532412
HFformer,1,19,327370.9663670063,275747.2074203491,0.06878783137288924
HFformer,1,20,327385.6659092903,275188.40616607666,0.07067498289598406
HFformer,1,21,327089.1037430763,275349.96197128296,0.07012937787908124
HFformer,1,22,326831.9926110506,276003.1642189026,0.06792353484055969
HFformer,1,23,326975.9290924072,275156.1533546448,0.07078392058320648
HFformer,1,24,326654.4570426941,275430.1401901245,0.06985868305468868
HFformer,1,25,326867.3196994066,275372.5587463379,0.07005313467809882
HFformer,2,1,835215.7670402527,570306.4191055298,0.01951603929905832
HFformer,2,2,792996.5629281998,558493.6191558838,0.039824811562973905
HFformer,2,3,773991.3608169556,556099.7520675659,0.043940380811536506
HFformer,2,4,767434.174270153,555366.3484191895,0.04520125537447606
HFformer,2,5,764456.5181126595,553861.1826324463,0.047788996870929745
HFformer,2,6,761820.815955162,554068.6078033447,0.04743237448710513
HFformer,2,7,759918.5222458839,553031.2405776978,0.04921597363445607
HFformer,2,8,758470.2122950554,552856.1153869629,0.04951697618524775
HFformer,2,9,757368.6962208748,551705.0651092529,0.05149586366797254
HFformer,2,10,756406.4890632629,551471.8733901978,0.05189681320495865
HFformer,2,11,755436.1005580425,551539.3034820557,0.05178082488557212
HFformer,2,12,754971.3940572739,551591.4140167236,0.05169135468781538
HFformer,2,13,754331.5509343147,551935.5456542969,0.051099577445429256
