model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
HFformer,1,6411710.101730347,0.10165740128140588,54686,100396,58059,99523,0,0
HFformer,1,6831730.8882751465,0.11727269495206716,60642,98582,64541,100258,0,1078
HFformer,1,7076084.439666748,0.11806494059541439,66277,98244,66719,101608,0,65
HFformer,1,7157230.613708496,0.11392405648270953,60920,97681,75141,102187,0,48
HFformer,1,7217196.382049561,0.10802241487891284,64497,97505,73216,102401,0,10
HFformer,1,7147840.354766846,0.10293898241246202,66547,97422,72001,102490,0,3
HFformer,1,7170512.304779053,0.10015401798101742,61807,97434,76572,102478,0,2
HFformer,1,7282917.518157959,0.09196104081174228,66566,97559,70836,102353,0,1
HFformer,1,7297002.160858154,0.07721869465244446,61141,97606,75002,102306,0,0
HFformer,1,7405930.6000061035,0.070706558863607,59435,97629,75498,102283,0,0
HFformer,1,7267365.493408203,0.07457712020364882,63167,97574,71909,102337,0,0
HFformer,1,7286181.938446045,0.06574677128373396,58034,97514,75000,102396,0,0
HFformer,1,7268166.120422363,0.065143514815175,63397,97551,69168,102358,0,0
HFformer,1,7326114.19342041,0.05817317478448514,56872,97578,74511,102330,0,0
HFformer,1,7261776.616485596,0.06002395720648146,58039,97604,73046,102304,0,0
HFformer,1,7357281.385406494,0.04044626395118933,56999,97701,71510,102206,0,0
HFformer,1,7269929.58442688,0.04579284071813894,60257,97796,68202,102110,0,0
HFformer,1,7349990.724395752,0.02071546741717245,51372,97801,73051,102104,0,0
HFformer,1,7301195.891784668,0.04876630600682397,59074,97858,68748,102046,0,0
HFformer,1,7146792.76574707,0.05132088409229851,60977,97921,65774,101983,0,0
HFformer,1,7337260.022827148,0.02147995938676661,57572,97982,66128,101921,0,0
HFformer,1,7395501.382476807,0.011801430345103392,46632,98047,74472,101855,0,0
HFformer,1,7301522.392089844,0.038637682792491135,56913,98191,68144,101710,0,0
HFformer,1,7089220.381958008,0.03838645554284681,57257,98206,65138,101694,0,0
HFformer,1,7151896.928527832,0.03754122877485411,57340,98151,65909,101749,0,0
HFformer,1,7136842.808364868,0.041532115858381125,57414,98172,65257,101727,0,0
HFformer,1,7252853.773895264,0.023321844559993088,55684,98225,65706,101673,0,0
HFformer,1,7141472.346405029,0.04023145518076199,57908,98248,63499,101649,0,0
HFformer,1,7102175.1974487305,0.032284760691225545,47350,98330,71746,101566,0,0
HFformer,1,7232282.014404297,0.015163412899127482,53466,98352,65181,101544,0,0
