model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
HFformer,1,6372026.711685181,0.09975265917708998,55128,100396,57767,99523,0,0
HFformer,1,6949537.794128418,0.10770317093213333,62686,98582,61970,100258,0,1078
HFformer,1,7066052.6052856445,0.11423558796028277,62073,98244,70727,101608,0,65
HFformer,1,7188310.972564697,0.10975219236453526,62621,97681,73654,102187,0,48
HFformer,1,7266311.553291321,0.10523622444401626,64998,97505,72373,102401,0,10
HFformer,1,7220860.265167236,0.10287512034773383,64692,97422,73290,102490,0,3
HFformer,1,7266566.212280273,0.09687579231839616,65439,97434,72833,102478,0,2
HFformer,1,7292430.819030762,0.08995867717775186,66227,97559,71657,102353,0,1
HFformer,1,7290886.139953613,0.08589706923303686,65811,97606,71386,102306,0,0
HFformer,1,7279870.303955078,0.07859253522856902,62438,97629,73157,102283,0,0
HFformer,1,7285167.916595459,0.07658051314540792,61179,97574,73492,102337,0,0
HFformer,1,7338729.068786621,0.06478132291562666,59093,97514,74401,102396,0,0
HFformer,1,7195809.164337158,0.0678791003314253,62841,97551,70183,102358,0,0
HFformer,1,7282694.926086426,0.060970934647237796,60747,97578,71059,102330,0,0
HFformer,1,7247618.828643799,0.06190168301431631,58956,97604,71848,102304,0,0
HFformer,1,7203127.562194824,0.06348885108112512,61425,97701,68944,102206,0,0
HFformer,1,7251407.984893799,0.055779581773516385,56285,97796,72792,102110,0,0
HFformer,1,7252912.195373535,0.054738189044790886,56496,97801,71940,102104,0,0
HFformer,1,7242481.460983276,0.054901426849081614,60147,97858,67836,102046,0,0
HFformer,1,7268223.942047119,0.050160284678740674,56571,97921,70487,101983,0,0
HFformer,1,7280130.056213379,0.04174883077467306,56694,97982,69557,101921,0,0
HFformer,1,7295032.492980957,0.03604599994012814,57519,98047,67975,101855,0,0
HFformer,1,7330199.817825317,0.023895429906737653,56671,98191,67188,101710,0,0
HFformer,1,7171321.075210571,0.048017142478562924,59378,98206,65313,101694,0,0
HFformer,1,7242779.8207092285,0.030232231034022616,55040,98151,67208,101749,0,0
HFformer,1,7189447.189804077,0.036629674393972356,48788,98172,73245,101727,0,0
HFformer,1,7165196.766983032,0.03929010337493244,58413,98225,64036,101673,0,0
HFformer,1,7186679.482391357,0.031148286858747265,52906,98248,68426,101649,0,0
HFformer,1,7123313.028579712,0.03537849568241458,49317,98330,71166,101566,0,0
HFformer,1,7213902.607757568,0.028199313724585617,50280,98352,69803,101544,0,0
