model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,138716.97603988647,30617.273588180542,-0.04874415413655808
HFformer,1,2,134861.0543832779,29928.697788238525,-0.025158128818313363
HFformer,1,3,132842.76652431488,29640.83279800415,-0.015297785145750309
HFformer,1,4,131647.00851750374,29461.004335403442,-0.009138049812199567
HFformer,1,5,130575.23798441887,29282.171321868896,-0.003012424689952553
HFformer,1,6,129990.31609106064,29239.792867660522,-0.001560819763532173
HFformer,1,7,129850.06329596043,29230.686473846436,-0.001248891481357095
HFformer,1,8,129804.50475645065,29224.606607437134,-0.001040640993569708
HFformer,1,9,129760.67607438564,29220.732151031494,-0.000907928863450147
HFformer,1,10,129716.85984706879,29217.58867073059,-0.0008002544594751804
HFformer,1,11,129714.85358953476,29214.655012130737,-0.0006997581589471835
HFformer,1,12,129681.41188383102,29212.211526870728,-0.000616066157486328
HFformer,1,13,129655.18405860662,29210.13438796997,-0.0005449237768502257
HFformer,1,14,129661.19414204359,29208.068202972412,-0.00047414283270641455
HFformer,1,15,129627.120642066,29206.061658859253,-0.0004054120958698615
HFformer,1,16,129592.14308226109,29204.078496932983,-0.0003374824801962717
HFformer,1,17,129597.8744110465,29201.774282455444,-0.00025856091475540133
HFformer,1,18,129574.78312027454,29198.905492782593,-0.00016029104839554442
HFformer,1,19,129577.48091042042,29195.569257736206,-4.6013709907644085e-05
HFformer,1,20,129550.75024151802,29191.49364089966,9.359289566102102e-05
HFformer,1,21,129501.48389345407,29186.071849822998,0.0002793061055690327
HFformer,1,22,129477.44744974375,29179.36517906189,0.0005090280574809869
HFformer,1,23,129422.68778818846,29170.560174942017,0.0008106225622459551
HFformer,1,24,129371.14632797241,29158.834955215454,0.0012122591412884187
HFformer,1,25,129337.68724572659,29143.28918838501,0.0017447554124105924
HFformer,1,26,129219.68857240677,29122.67875289917,0.0024507314727907348
HFformer,1,27,129103.34205973148,29094.634126663208,0.003411351804893492
HFformer,1,28,128962.2396697998,29056.939420700073,0.004702520729914839
HFformer,1,29,128754.9263278842,29007.546089172363,0.006394412290842366
HFformer,1,30,128547.69158357382,28942.682445526123,0.00861620063453361
HFformer,1,31,128258.2992670536,28857.31188583374,0.011540434444515357
HFformer,1,32,127867.28826606274,28746.025232315063,0.015352371522557973
HFformer,1,33,127432.88386797905,28602.717803955078,0.02026112828766835
HFformer,1,34,126815.31354224682,28418.015251159668,0.02658780986121323
HFformer,1,35,126040.0625424385,28178.55452156067,0.03479014656344093
