model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
HFformer,1,37015.324324274785,0.10165740150590885,54686,100396,58059,99523,0,0
HFformer,1,39139.96388291686,0.11727269452203293,60642,98582,64541,100258,0,1078
HFformer,1,40919.073301111355,0.11806494018521851,66277,98244,66719,101608,0,65
HFformer,1,42377.927003508266,0.11392405741896972,60920,97681,75141,102187,0,48
HFformer,1,43587.78289488466,0.10802241458173545,64497,97505,73216,102401,0,10
HFformer,1,44588.10029930815,0.10293898202709761,66547,97422,72001,102490,0,3
HFformer,1,45387.29012469217,0.10015401828448034,61807,97434,76572,102478,0,2
HFformer,1,46334.165515233166,0.09196104186794574,66566,97559,70836,102353,0,1
HFformer,1,47499.13213112719,0.07721869551770721,61141,97606,75002,102306,0,0
HFformer,1,48183.5345664062,0.0707065591922017,59435,97629,75498,102283,0,0
HFformer,1,48264.349915279876,0.07457711997403704,63167,97574,71909,102337,0,0
HFformer,1,48941.2364332168,0.06574677146415941,58034,97514,75000,102396,0,0
HFformer,1,49165.721927456616,0.06514351527436157,63397,97551,69168,102358,0,0
HFformer,1,49712.51450268733,0.05817317588197468,56872,97578,74511,102330,0,0
HFformer,1,49773.01096551029,0.060023956822909064,58039,97604,73046,102304,0,0
HFformer,1,50953.62838056423,0.04044626409072116,56999,97701,71510,102206,0,0
HFformer,1,50792.02384791385,0.045792840114248334,60257,97796,68202,102110,0,0
HFformer,1,52234.45480002646,0.020715467057720316,51372,97801,73051,102104,0,0
HFformer,1,50840.12583532657,0.04876630518219649,59074,97858,68748,102046,0,0
HFformer,1,50811.58291341062,0.0513208839509357,60977,97921,65774,101983,0,0
HFformer,1,52523.05841346085,0.021479958909550234,57572,97982,66128,101921,0,0
HFformer,1,53144.30233448134,0.011801429651971396,46632,98047,74472,101855,0,0
HFformer,1,51798.55276591686,0.038637682973306164,56913,98191,68144,101710,0,0
HFformer,1,51904.8901037085,0.03838645546956099,57257,98206,65138,101694,0,0
HFformer,1,52039.94582893199,0.0375412283252482,57340,98151,65909,101749,0,0
HFformer,1,51909.5646271024,0.041532116435788136,57414,98172,65257,101727,0,0
HFformer,1,52968.5119145339,0.023321845164072208,55684,98225,65706,101673,0,0
HFformer,1,52119.81054332492,0.04023145562998787,57908,98248,63499,101649,0,0
HFformer,1,52614.426808133074,0.03228476126811364,47350,98330,71746,101566,0,0
HFformer,1,53606.57559970442,0.01516341372158514,53466,98352,65181,101544,0,0
