model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
HFformer,1,1,385525.97887945175,295871.7862510681,0.0008262118505865113
HFformer,1,2,352895.2362713814,281650.4044570923,0.04885249705538652
HFformer,1,3,339497.5508811474,279987.8006782532,0.05446719210153517
HFformer,1,4,336643.32752871513,279712.86193084717,0.055395674368634795
HFformer,1,5,334891.9756190777,278522.04010772705,0.059417208316312475
HFformer,1,6,333286.2918560505,277993.04790496826,0.06120355335550953
HFformer,1,7,332229.4103189707,277359.23093414307,0.06334397196025332
HFformer,1,8,331378.9437638521,277813.839969635,0.061808816309918524
HFformer,1,9,330577.6434662342,276967.1453819275,0.0646681592605437
HFformer,1,10,329870.9473553896,275986.2713851929,0.06798053318892527
HFformer,1,11,329285.19809281826,275263.8927268982,0.07042006636911446
HFformer,1,12,328798.5936836004,276449.7886390686,0.06641526314993562
HFformer,1,13,328427.34770166874,275763.1406555176,0.06873406329846843
HFformer,1,14,328183.5223917961,276647.0104560852,0.06574921878877626
HFformer,1,15,327909.99174261093,275901.12382888794,0.06826808770474602
HFformer,1,16,327930.1921002865,276290.93800354004,0.0669516661792473
HFformer,1,17,327709.95841884613,274998.919090271,0.07131481775489379
HFformer,1,18,327329.9459447861,275727.39419937134,0.0688547553569182
HFformer,1,19,327477.390963912,275605.26026153564,0.06926720695563937
HFformer,1,20,327377.1979211569,275142.41303253174,0.07083032485030727
HFformer,1,21,326937.2199636698,276129.7943534851,0.06749585796240198
HFformer,1,22,327243.4286580086,275405.476600647,0.06994190784308152
HFformer,1,23,326957.79802918434,275326.1115722656,0.07020999496521052
HFformer,1,24,327205.4735543728,275659.9195137024,0.06908263978685802
HFformer,1,25,326616.6979818344,276429.1729774475,0.0664849207781868
HFformer,2,1,854184.2288892269,573893.4757614136,0.013349056015691696
HFformer,2,2,790743.3577990532,557781.6814117432,0.04104881766640556
HFformer,2,3,771317.4971985817,555217.4974975586,0.04545720847636703
HFformer,2,4,765212.7528319359,554616.4975509644,0.04649046462557238
HFformer,2,5,762227.6606869698,554471.8000183105,0.04673930199209764
HFformer,2,6,760207.0942673683,552643.1411819458,0.04988312860073607
HFformer,2,7,759038.9912147522,551491.3359375,0.05186331536997535
HFformer,2,8,757949.5463175774,551637.2565002441,0.05161245163868
HFformer,2,9,757176.0030469894,551583.7982177734,0.05170443987042583
HFformer,2,10,756559.7093930244,550835.1080932617,0.05299147097172907
HFformer,2,11,756045.6282315254,551058.5744552612,0.052607325389146586
HFformer,2,12,755544.757361412,550905.3576812744,0.052870729433468155
HFformer,2,13,755227.8892278671,551712.7376174927,0.051482673476074936
HFformer,2,14,754690.8481268883,552092.1945037842,0.05083024963773486
HFformer,2,15,753991.765001297,550467.2660522461,0.05362403188575182
HFformer,2,16,753919.8194966316,550024.5509490967,0.05438506590114711
HFformer,2,17,753317.2069704533,550081.6383972168,0.05428692055786555
HFformer,2,18,753418.7707686424,550562.6693267822,0.05345998016402287
HFformer,2,19,752957.9580898285,551579.4339904785,0.051711898184371496
HFformer,2,20,752814.866484642,549706.8249664307,0.05493124278195827
HFformer,2,21,752481.684864521,550201.3658218384,0.054081082061273045
HFformer,2,22,752003.3741385937,550090.0100097656,0.05427253367732132
HFformer,2,23,751874.1395611763,550224.6961135864,0.05404093002551158
HFformer,2,24,752026.1057069302,550083.9515838623,0.054282956912459435
HFformer,2,25,751777.0978274345,550756.4211730957,0.05312680597407193
HFformer,3,1,1355431.0970048904,866171.1902008057,0.006870546426564039
HFformer,3,2,1279688.6443190575,846137.268371582,0.0298409968850335
HFformer,3,3,1247376.6555948257,841157.4219055176,0.03555071882561267
HFformer,3,4,1238064.3179402351,840523.0339660645,0.03627810472988413
HFformer,3,5,1234498.611207962,839327.9405059814,0.03764835890952034
