model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
Transformer_encdec,1,1,29438.881346702576,6256.246081352234,0.022419214248657227,0.022418944823966114
Transformer_encdec,1,2,10974.470628619194,8766.150524139404,-0.5769896507263184,-0.5769900928685849
Transformer_encdec,1,3,3876.6154075860977,8739.6647605896,-0.594478964805603,-0.5944793073576862
Transformer_encdec,1,4,2800.6857966184616,8678.692843437195,-0.6238691806793213,-0.6238697554111923
Transformer_encdec,1,5,2132.883275747299,8717.159046173096,-0.6452089548110962,-0.6452093031835524
Transformer_encdec,1,6,1687.8336368203163,8629.105127334595,-0.6569691896438599,-0.6569696363177844
Transformer_encdec,1,7,1464.3296920657158,8649.727210998535,-0.6655001640319824,-0.6655006865037874
Transformer_encdec,1,8,1374.9159990102053,8642.983031272888,-0.6656041145324707,-0.6656046371644064
Transformer_encdec,1,9,1226.707762658596,8625.794111251831,-0.6693090200424194,-0.6693093346288868
Transformer_encdec,1,10,1145.7657404839993,8605.041791915894,-0.6779043674468994,-0.6779049303853195
Transformer_encdec,1,11,1063.775169402361,8676.646008491516,-0.6767419576644897,-0.6767423775552932
Transformer_encdec,1,12,1015.3335092067719,8583.483340263367,-0.6671580076217651,-0.6671585368720183
Transformer_encdec,1,13,1001.9957754909992,8598.952774047852,-0.6697129011154175,-0.6697133540704345
Transformer_encdec,1,14,871.5691469609737,8568.365169525146,-0.6717066764831543,-0.6717072690189867
Transformer_encdec,1,15,786.4577700197697,8650.616456985474,-0.700671911239624,-0.7006724626171057
Transformer_encdec,1,16,813.3223515748978,8534.792516708374,-0.6765488386154175,-0.6765492322693194
Transformer_encdec,1,17,855.3251773566008,8542.677131652832,-0.6774454116821289,-0.6774458886333381
Transformer_encdec,1,18,807.6957823634148,8576.156398773193,-0.6881775856018066,-0.6881779958062249
Transformer_encdec,1,19,719.8264704942703,8637.015560150146,-0.6835609674453735,-0.6835614536987407
Transformer_encdec,1,20,767.10125041008,8545.097692489624,-0.6711269617080688,-0.6711274608589495
Transformer_encdec,1,21,697.552702948451,8582.539518356323,-0.6850522756576538,-0.6850528777781175
Transformer_encdec,1,22,702.6636307686567,8575.611395835876,-0.6872612237930298,-0.6872616227710782
Transformer_encdec,1,23,595.2577851861715,8597.190107345581,-0.6805076599121094,-0.6805080423969188
Transformer_encdec,1,24,617.3867462128401,8553.52403831482,-0.6879738569259644,-0.6879743611561484
Transformer_encdec,1,25,640.4342350065708,8519.961650848389,-0.6758450269699097,-0.6758455594751958
Transformer_encdec,1,26,573.77893935889,8632.98279762268,-0.6953997611999512,-0.6954003016117327
Transformer_encdec,1,27,618.0275023579597,8550.711259841919,-0.6813457012176514,-0.681346193589659
Transformer_encdec,1,28,562.6268642544746,8586.410002708435,-0.6888772249221802,-0.6888777184251738
Transformer_encdec,1,29,548.0493666231632,8509.743434906006,-0.6702932119369507,-0.6702936296803901
Transformer_encdec,1,30,562.2912499606609,8618.218608856201,-0.6765152215957642,-0.6765156675999502
