model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
LSTM_MO,1,0,3871.8508735852047,3968.764386219057,0.05261173122373353
LSTM_MO,1,1,3806.1147387360597,3938.5733613829043,0.05981808284804824
LSTM_MO,1,2,3781.4121687996076,3938.9125149378724,0.05973782879268086
LSTM_MO,1,3,3767.410705300244,3907.1972216130657,0.06730800744165177
LSTM_MO,1,4,3759.7961839777417,3919.1814931241624,0.06444776286020415
LSTM_MO,1,5,3754.0249565428567,3902.9086536185987,0.06832993509159657
LSTM_MO,1,6,3742.8291991256874,3897.8659511770716,0.06953434341522768
LSTM_MO,1,7,3733.4560924824923,3900.621195471253,0.06887791014114253
LSTM_MO,1,8,3724.5733263479033,3885.337104280225,0.07252599380198654
LSTM_MO,1,9,3719.8169096809224,3886.525521910326,0.07224364091807833
LSTM_MO,2,0,4401.887643775151,3891.1012604942716,0.05018758222361375
LSTM_MO,2,1,4340.8766105783925,3882.560162933374,0.05227170692611782
LSTM_MO,2,2,4324.350952950563,3881.5617216947403,0.052515466627225726
LSTM_MO,2,3,4315.101985138517,3879.557336228815,0.05300580373535757
LSTM_MO,2,4,4305.240106026184,3866.946536525407,0.05608220338315495
LSTM_MO,2,5,4301.811685001902,3865.704179694707,0.05638490708881572
LSTM_MO,2,6,4297.349459668305,3860.1762619533324,0.0577346049785421
LSTM_MO,2,7,4293.462562734982,3869.528992506591,0.05545227340227954
LSTM_MO,2,8,4287.395063679342,3860.116116084497,0.057748715169718134
LSTM_MO,2,9,4286.016577667563,3863.2994056804614,0.05697196469013599
LSTM_MO,3,0,4751.442750343388,3918.104694493792,0.03820438175211571
LSTM_MO,3,1,4698.694559685757,3906.381926499307,0.04108110241038976
LSTM_MO,3,2,4681.566634846073,3903.1848143941975,0.04186575235589762
LSTM_MO,3,3,4670.49426862065,3899.876382863318,0.042677589715294895
LSTM_MO,3,4,4662.891269232765,3897.1667927043004,0.04334260049256011
LSTM_MO,3,5,4656.207293911816,3895.5006860271096,0.043751619426374844
LSTM_MO,3,6,4649.80515353865,3895.722593391822,0.04369727049013894
LSTM_MO,3,7,4645.541557731854,3894.99427704784,0.043875674197937475
LSTM_MO,3,8,4639.754571175813,3890.6862366348505,0.04493316362610733
LSTM_MO,3,9,4635.54192362129,3889.2325373684816,0.04528983052981672
LSTM_MO,4,0,4970.713010708426,3930.622017264705,0.03031676139416517
LSTM_MO,4,1,4920.061609914733,3921.7099169055846,0.03251449156978081
LSTM_MO,4,2,4903.698332323883,3918.894807563248,0.03320897474189355
LSTM_MO,4,3,4895.660235398301,3917.5456889363177,0.03354175726526931
LSTM_MO,4,4,4888.87952111136,3915.8285513709893,0.03396547379846426
LSTM_MO,4,5,4882.772744097995,3915.7471821430054,0.033985697001319704
LSTM_MO,4,6,4878.059296917679,3915.4372362047434,0.03406200318140118
LSTM_MO,4,7,4875.217342224099,3915.233452966606,0.034112013547918596
LSTM_MO,4,8,4871.867050067458,3914.040799962526,0.03440597830596459
LSTM_MO,4,9,4868.641378888066,3914.6039688732812,0.03426738060020995
LSTM_MO,5,0,5108.506623619411,3933.00982638795,0.024456506639547793
LSTM_MO,5,1,5063.779969725715,3926.438024795939,0.026086386666434036
LSTM_MO,5,2,5050.611391075548,3924.073148598591,0.02667286151438042
LSTM_MO,5,3,5041.458560893995,3920.9398266597714,0.027450145345588872
LSTM_MO,5,4,5035.800976994569,3918.31895401684,0.028099928374234584
LSTM_MO,5,5,5031.227839401124,3918.573539167816,0.028036742305638795
LSTM_MO,5,6,5027.154504790627,3918.0872523030916,0.02815754606519083
LSTM_MO,5,7,5024.43507921283,3917.8873738813713,0.028206899169732513
LSTM_MO,5,8,5024.246608971428,3917.800376642062,0.028228097952601505
LSTM_MO,5,9,5021.392296596907,3917.5850811469,0.02828176527606041
LSTM_MO,6,0,5200.994401301942,3928.143801258487,0.020502580464877518
LSTM_MO,6,1,5158.429704582283,3922.1935471954735,0.021985595214616294
LSTM_MO,6,2,5145.924846376267,3919.9388010954094,0.022547223626486312
LSTM_MO,6,3,5137.25086628678,3917.77935709657,0.02308525400417727
LSTM_MO,6,4,5133.417853481106,3917.9014843674595,0.023054917314440093
LSTM_MO,6,5,5129.800404575342,3917.3165606325274,0.0232003257100174
LSTM_MO,6,6,5126.481752648088,3916.7074461885145,0.023352058376435836
LSTM_MO,6,7,5125.130061779548,3916.222106083708,0.02347352728995733
LSTM_MO,6,8,5122.469110774951,3915.7832365333165,0.023582930746047892
LSTM_MO,6,9,5119.485449767858,3914.577030974852,0.02388342232959173
LSTM_MO,7,0,5254.478024225449,3933.3302745716865,0.016217493016941975
LSTM_MO,7,1,5217.65133807582,3928.792559743794,0.017351308124582188
LSTM_MO,7,2,5205.993163901775,3924.418651532815,0.01844462532836777
LSTM_MO,7,3,5197.849582782508,3922.919780911401,0.018818941954926505
LSTM_MO,7,4,5192.653226582101,3922.1296966819223,0.019016103936737805
LSTM_MO,7,5,5189.400384047545,3920.8919840732287,0.019326237152953674
LSTM_MO,7,6,5185.001061408609,3920.0558121181853,0.019535236431395653
LSTM_MO,7,7,5182.240890403256,3920.2438199728035,0.01948841970235915
LSTM_MO,7,8,5180.666771470103,3919.4839536226245,0.01967813500592186
LSTM_MO,7,9,5178.452877447314,3920.2002171525774,0.01949897882574325
