model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
LSTM_MO,1,37313.96936555579,0.09440944391529504,50725,100396,61491,99523,0,0
LSTM_MO,1,40272.22090717405,0.0917367936811625,60831,98582,62975,100258,0,1078
LSTM_MO,1,42269.66746865213,0.08895537943176335,64610,98244,67460,101608,0,65
LSTM_MO,1,43556.01931685209,0.08929143947639584,65304,97681,70528,102187,0,48
LSTM_MO,1,44196.81772018224,0.09555916532522069,65649,97505,72236,102401,0,10
LSTM_MO,1,45105.06421842426,0.09253826686424849,64470,97422,74360,102490,0,3
LSTM_MO,1,46085.78758024424,0.08630564604460489,63996,97434,74872,102478,0,2
LSTM_MO,1,46980.642281726,0.079291642252318,62765,97559,75414,102353,0,1
LSTM_MO,1,47566.11843837798,0.07591732896241299,62225,97606,75610,102306,0,0
LSTM_MO,1,48005.6343377009,0.0741376389700511,61891,97629,74868,102283,0,0
LSTM_MO,1,48939.22420475632,0.0616370478788808,58481,97574,76795,102337,0,0
LSTM_MO,1,49343.70888743736,0.05806385723693974,58279,97514,75703,102396,0,0
LSTM_MO,1,49389.11351989955,0.06089586040772277,58376,97551,74932,102358,0,0
LSTM_MO,1,49793.326506938785,0.056642155336161015,55177,97578,76740,102330,0,0
LSTM_MO,1,49951.92536729947,0.05664511449695919,55229,97604,75802,102304,0,0
LSTM_MO,1,50544.44276847318,0.04815200697233979,54640,97701,75574,102206,0,0
LSTM_MO,1,50621.40078038722,0.04899825834868876,52448,97796,76466,102110,0,0
LSTM_MO,1,51340.59240312874,0.0374734798357671,52347,97801,75678,102104,0,0
LSTM_MO,1,51121.60938587971,0.0434996653939449,50923,97858,76147,102046,0,0
LSTM_MO,1,51408.84284154326,0.0401697252655393,51574,97921,75140,101983,0,0
LSTM_MO,1,51390.42859570682,0.04258118557288815,53498,97982,73166,101921,0,0
LSTM_MO,1,51568.40134048462,0.041104724819554295,51859,98047,73664,101855,0,0
LSTM_MO,1,52029.637367177755,0.0343488360937001,51928,98191,72995,101710,0,0
LSTM_MO,1,51832.79419323895,0.03972213564136007,51743,98206,72752,101694,0,0
LSTM_MO,1,51949.01251084171,0.03922300439106452,50717,98151,72934,101749,0,0
LSTM_MO,1,52426.10421721358,0.03199463279563031,49173,98172,73349,101727,0,0
LSTM_MO,1,52348.40766043868,0.034755851873386034,49654,98225,72034,101673,0,0
LSTM_MO,1,52642.263584230095,0.03061066207125318,49350,98248,72021,101649,0,0
LSTM_MO,1,52668.13335622288,0.03129695906650776,49216,98330,71441,101566,0,0
LSTM_MO,1,52781.00243028067,0.03033048252082393,45622,98352,74000,101544,0,0
